timestamp,spi_sent
2026-01-10 16:22:18,44 72 62 46 0 75 18 0 1
2026-01-10 16:22:23,44 72 62 46 0 75 18 0 1
2026-01-10 16:22:28,44 72 62 46 0 75 18 0 1
2026-01-10 16:22:33,44 72 62 46 0 75 18 0 1
2026-01-10 16:22:38,44 72 62 46 0 75 18 0 1
2026-01-10 16:22:43,44 72 62 46 0 75 18 0 1
2026-01-10 16:22:48,44 72 62 46 0 75 18 0 1
2026-01-10 16:22:53,44 72 62 46 0 75 18 0 1
2026-01-10 16:22:58,44 72 62 46 0 75 18 0 1
2026-01-10 16:22:58,44 72 62 46 0 75 18 0 1
2026-01-10 16:23:03,44 72 62 46 0 75 18 0 1
2026-01-10 16:23:08,44 72 62 46 0 75 18 0 1
2026-01-10 16:23:13,44 72 62 46 0 75 18 0 1
2026-01-10 16:23:18,44 72 62 46 0 75 18 0 1
2026-01-10 16:23:23,44 72 62 46 0 75 18 0 1
2026-01-10 16:23:28,44 72 62 46 0 75 18 0 1
2026-01-10 16:23:33,44 72 62 46 0 75 18 0 1
2026-01-10 16:23:38,44 72 62 46 0 75 18 0 1
2026-01-10 16:23:43,44 72 62 46 0 75 18 0 1
2026-01-10 16:23:48,44 72 62 46 0 75 18 0 1
2026-01-10 16:23:53,44 72 62 46 0 75 18 0 1
2026-01-10 16:23:58,44 72 62 46 0 75 18 0 1
2026-01-10 16:24:03,44 72 62 46 0 75 18 0 1
2026-01-10 16:24:08,44 72 62 46 0 75 18 0 1
2026-01-10 16:24:08,44 72 62 46 0 75 18 0 1
2026-01-10 16:24:13,44 72 62 46 0 75 18 0 1
2026-01-10 16:25:18,44 72 62 46 0 75 18 0 1
2026-01-10 16:26:27,44 72 62 46 0 75 18 0 1
2026-01-10 16:27:37,44 72 62 46 0 75 18 0 1
2026-01-10 16:28:47,44 72 62 46 0 75 18 0 1
2026-01-10 16:29:57,44 72 62 46 0 75 18 0 1
2026-01-10 16:31:06,44 72 62 46 0 75 18 0 1
2026-01-10 16:32:16,44 72 62 46 0 75 18 0 1
2026-01-10 16:33:26,44 72 62 46 0 75 18 0 1
2026-01-10 16:34:35,44 72 62 46 0 75 18 0 1
2026-01-10 16:35:45,44 72 62 46 0 75 18 0 1
2026-01-10 16:36:55,44 72 62 46 0 75 18 0 1
2026-01-10 16:38:05,44 72 62 46 0 75 18 0 1
2026-01-10 16:39:14,44 72 62 46 0 75 18 0 1
2026-01-10 16:40:24,44 72 62 46 0 75 18 0 1
2026-01-10 16:41:34,44 72 62 46 0 75 18 0 1
2026-01-10 16:42:44,44 72 62 46 0 75 18 0 1
